2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,15; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 206.0; Tile: TRAP(lava)
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,14; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 205.0; Tile: ROAD
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,13; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 204.0; Tile: ROAD
2019-05-31 20:46:45 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,12; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 203.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,11; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 202.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 20,10; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 201.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  20,9; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 200.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  20,8; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 199.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  20,7; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 198.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  20,6; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 197.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  20,5; Parcels:      2; Health:  70.0; Health Usage: 100.0; Fuel: 196.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  19,5; Parcels:      2; Health:  65.0; Health Usage: 100.0; Fuel: 195.0; Tile: TRAP(lava)
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  18,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 194.0; Tile: TRAP(lava)
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  17,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 193.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  16,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 192.0; Tile: ROAD
2019-05-31 20:46:46 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  15,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 191.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  14,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 190.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  13,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 189.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  12,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 188.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  11,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 187.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  10,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 186.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   9,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 185.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   8,5; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 184.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,6; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 183.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,7; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 182.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,8; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 181.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 180.0; Tile: ROAD
2019-05-31 20:46:47 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 179.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 178.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 177.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 176.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 175.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 174.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 173.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,9; Parcels:      2; Health:  60.0; Health Usage: 100.0; Fuel: 172.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 171.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  17,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 171.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 170.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 169.0; Tile: ROAD
2019-05-31 20:46:48 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,9; Parcels:      3; Health:  60.0; Health Usage: 100.0; Fuel: 168.0; Tile: ROAD
